start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr
2024-01-01,42324.8,44284.9,42211.2,44235.5,79123.439,3416032597.2288,2024-01-01,43741.77,60.88,43266.71,41923.13,42594.92,43938.51,41251.34,44610.3,40579.55,6.3,587.81,803.53,-215.72,19.08,15.8,21.37,28.53,98822.53364285715,-6043.72,-1146.8499999999985,-188.27,7.39,42852.73,42958.96,196.74000000000524,-2490.4300000000003,-782.8099999999977,-889.0399999999936,-9.119999999999997,106.22999999999593,-106.22999999999593,0.0,0.0,30.880000000000003,3.2799999999999976,-215.72000000000003,2687.1700000000055,28.57,3289492.38,61.2,3.68,1524.64
2024-01-02,44235.5,45946.5,44208.7,44989.0,180530.083,8166222223.7952,2024-01-02,45033.3,66.9,43646.5,42007.8,42827.15,44465.85,41188.45,45285.2,40369.1,7.65,718.43,786.51,-68.08,25.25,14.53,21.76,28.29,101584.78985714287,2762.25,-2206.1500000000015,656.47,12.34,43062.94,43788.69,-567.4500000000044,-3844.850000000006,-1244.6100000000006,-1970.3600000000006,-3.0999999999999943,725.75,-725.75,725.75,0.0,36.900000000000006,10.72,-68.08000000000004,3277.4000000000015,28.57,3271084.08,62.52,5.97,1539.86
2024-01-03,44989.0,45567.8,40210.0,42871.9,308217.553,13228994107.3449,2024-01-03,42880.4,52.41,43649.52,42014.92,42832.22,44466.83,41197.61,45284.13,40380.31,7.63,640.84,757.38,-116.53,19.91,27.22,21.32,27.66,111471.44642857143,9886.65,-48.18000000000029,519.15,-11.85,42998.51,43425.37,1586.4300000000003,-1682.7900000000009,544.9700000000012,118.11000000000058,-17.590000000000003,426.8600000000006,-426.8600000000006,0.0,0.0,22.409999999999997,-7.309999999999999,-116.53999999999996,3269.220000000001,-7.14,3269128.17,46.18,-1.41,1812.57
2024-01-04,42871.9,44875.5,42637.0,44156.3,164677.973,7207270337.2467,2024-01-04,43956.27,57.38,43762.96,42115.59,42939.27,44586.64,41291.9,45410.33,40468.22,7.67,658.57,737.62,-79.04,18.19,24.86,20.9,27.14,114943.5022142857,3472.05,-1017.0,26.5,-4.69,43149.4,43637.73,630.3700000000026,-2664.3699999999953,-318.5399999999936,-806.8699999999953,-12.619999999999997,488.33000000000175,-488.33000000000175,0.0,0.0,27.380000000000003,-6.669999999999998,-79.04999999999995,3294.739999999998,-7.14,3327988.5,47.84,0.23,1843.0
2024-01-05,44156.3,44436.4,42181.0,44156.8,194356.602,8492204192.3071,2024-01-05,43732.75,56.07,43829.25,42200.43,43014.84,44643.65,41386.03,45458.06,40571.62,7.57,647.13,719.52,-72.39,16.62,24.46,20.77,26.69,121437.62121428573,6494.11,-717.9100000000035,82.69,-2.89,43209.8,43675.74,910.9000000000015,-2346.720000000001,-57.01000000000204,-522.9499999999971,-13.93,465.93999999999505,-465.93999999999505,0.0,0.0,26.07,-7.84,-72.38999999999999,3257.6200000000026,-7.14,3474156.66,39.1,-0.55,1872.45
2024-01-06,44156.8,44229.4,43400.7,43972.4,54322.09,2379850493.5741,2024-01-06,43893.72,56.83,43851.69,42345.4,43098.54,44604.84,41592.25,45357.98,40839.1,6.99,643.63,704.34,-60.71,16.07,23.65,20.65,25.85,121859.91085714287,422.28,-795.1800000000003,-188.02,-1.3,43326.72,43762.93,711.1199999999953,-2301.470000000001,-130.79000000000087,-567.0,-13.170000000000002,436.2099999999991,-436.2099999999991,0.0,0.0,26.83,-7.579999999999998,-60.710000000000036,3012.5899999999965,-7.14,3494785.55,42.19,0.46,1797.9
2024-01-07,43972.4,44509.6,43577.0,43936.2,73660.896,3245710612.4875,2024-01-07,43989.75,57.31,43912.13,42454.71,43183.42,44640.84,41726.0,45369.55,40997.29,6.74,641.21,691.72,-50.5,16.61,22.74,20.28,24.95,122152.74621428571,292.83,-806.3300000000017,-136.56,0.89,43530.07,43853.65,651.0899999999965,-2263.75,-136.09999999999854,-459.6800000000003,-12.689999999999998,323.58000000000175,-323.58000000000175,0.0,0.0,27.310000000000002,-6.129999999999999,-50.50999999999999,2914.8399999999965,-7.14,3477867.08,46.43,1.96,1736.09
2024-01-08,43936.2,47318.3,43136.9,46972.8,228622.432,10335328706.3308,2024-01-08,46100.2,66.16,44381.02,42541.4,43461.21,45300.82,41621.59,46220.63,40701.78,8.46,800.37,713.45,86.92,24.51,19.19,19.71,23.78,133226.60814285715,11073.86,-2638.989999999998,800.39,11.98,43970.01,44752.27,-799.3799999999974,-4478.610000000001,-1347.9300000000003,-2130.189999999995,-3.8400000000000034,782.2599999999948,-782.2599999999948,782.2599999999948,0.0,36.16,5.32,86.91999999999996,3679.230000000003,35.71,3668708.36,51.22,6.07,1910.76
2024-01-09,46972.8,48083.4,44750.0,46128.0,237993.417,11063731806.9368,2024-01-09,46272.35,66.77,44827.66,42630.21,43728.93,45926.38,41531.49,47025.1,40432.77,10.05,929.67,756.69,172.98,24.33,16.92,19.58,22.86,141840.94671428573,8614.33,-2543.4199999999983,1375.63,9.98,44400.05,45360.3,-345.97000000000116,-4740.860000000001,-912.0499999999956,-1872.2999999999956,-3.230000000000004,960.25,-960.25,960.25,0.0,36.769999999999996,7.409999999999997,172.9799999999999,4394.889999999999,42.85,3627483.97,60.31,8.62,2012.37
2024-01-10,46128.0,47732.0,44301.0,46659.9,322480.711,14773330182.3574,2024-01-10,46338.2,67.01,45222.55,42732.32,43977.44,46467.66,41487.21,47712.77,40242.1,11.32,1025.64,810.48,215.15,21.51,16.47,19.13,21.77,157833.48035714286,15992.53,-2360.7599999999948,1211.12,-2.54,44688.54,45751.46,129.4600000000064,-4850.989999999998,-586.739999999998,-1649.6599999999962,-2.989999999999995,1062.9199999999983,-1062.9199999999983,1062.9199999999983,0.0,37.010000000000005,5.040000000000003,215.16000000000008,4980.450000000004,42.85,3748430.68,49.42,7.29,2113.7
