,period,value,time,date
0,7,0.78050229,1705244400.0,2024-01-14 15:00:00+00:00
1,7,0.78039571,1705248000.0,2024-01-14 16:00:00+00:00
2,7,0.78036852,1705251600.0,2024-01-14 17:00:00+00:00
3,7,0.78026099,1705255200.0,2024-01-14 18:00:00+00:00
4,7,0.78024927,1705258800.0,2024-01-14 19:00:00+00:00
5,7,0.78510785,1705262400.0,2024-01-14 20:00:00+00:00
6,7,0.78530777,1705266000.0,2024-01-14 21:00:00+00:00
7,7,0.78253726,1705269600.0,2024-01-14 22:00:00+00:00
8,7,0.78449246,1705273200.0,2024-01-14 23:00:00+00:00
9,7,0.78699971,1705276800.0,2024-01-15 00:00:00+00:00
10,7,0.78908643,1705280400.0,2024-01-15 01:00:00+00:00
11,7,0.78596028,1705284000.0,2024-01-15 02:00:00+00:00
12,7,0.78578459,1705287600.0,2024-01-15 03:00:00+00:00
13,7,0.78577705,1705291200.0,2024-01-15 04:00:00+00:00
14,7,0.78587210,1705294800.0,2024-01-15 05:00:00+00:00
15,7,0.78449638,1705298400.0,2024-01-15 06:00:00+00:00
16,7,0.78423633,1705302000.0,2024-01-15 07:00:00+00:00
17,7,0.78416083,1705305600.0,2024-01-15 08:00:00+00:00
18,7,0.78318464,1705309200.0,2024-01-15 09:00:00+00:00
19,7,0.78293162,1705312800.0,2024-01-15 10:00:00+00:00
20,7,0.78202161,1705316400.0,2024-01-15 11:00:00+00:00
21,7,0.77843132,1705320000.0,2024-01-15 12:00:00+00:00
22,7,0.77843070,1705323600.0,2024-01-15 13:00:00+00:00
23,7,0.77825927,1705327200.0,2024-01-15 14:00:00+00:00
24,7,0.78349167,1705330800.0,2024-01-15 15:00:00+00:00
25,7,0.78322906,1705334400.0,2024-01-15 16:00:00+00:00
26,7,0.77182659,1705338000.0,2024-01-15 17:00:00+00:00
27,7,0.76694710,1705341600.0,2024-01-15 18:00:00+00:00
28,7,0.76526213,1705345200.0,2024-01-15 19:00:00+00:00
29,7,0.76320126,1705348800.0,2024-01-15 20:00:00+00:00
30,7,0.76333980,1705352400.0,2024-01-15 21:00:00+00:00
31,7,0.76386824,1705356000.0,2024-01-15 22:00:00+00:00
32,7,0.76392416,1705359600.0,2024-01-15 23:00:00+00:00
33,7,0.76000251,1705363200.0,2024-01-16 00:00:00+00:00
34,7,0.76008619,1705366800.0,2024-01-16 01:00:00+00:00
35,7,0.76012199,1705370400.0,2024-01-16 02:00:00+00:00
36,7,0.76003530,1705374000.0,2024-01-16 03:00:00+00:00
37,7,0.76180692,1705377600.0,2024-01-16 04:00:00+00:00
38,7,0.76181101,1705381200.0,2024-01-16 05:00:00+00:00
39,7,0.76139407,1705384800.0,2024-01-16 06:00:00+00:00
40,7,0.76137576,1705388400.0,2024-01-16 07:00:00+00:00
41,7,0.75998707,1705392000.0,2024-01-16 08:00:00+00:00
42,7,0.76103726,1705395600.0,2024-01-16 09:00:00+00:00
43,7,0.76109177,1705399200.0,2024-01-16 10:00:00+00:00
44,7,0.76145583,1705402800.0,2024-01-16 11:00:00+00:00
45,7,0.75296830,1705406400.0,2024-01-16 12:00:00+00:00
46,7,0.75354263,1705410000.0,2024-01-16 13:00:00+00:00
47,7,0.75040667,1705413600.0,2024-01-16 14:00:00+00:00
48,7,0.75022201,1705417200.0,2024-01-16 15:00:00+00:00
49,7,0.75304742,1705420800.0,2024-01-16 16:00:00+00:00
50,7,0.75414852,1705424400.0,2024-01-16 17:00:00+00:00
51,7,0.75430271,1705428000.0,2024-01-16 18:00:00+00:00
52,7,0.75411700,1705431600.0,2024-01-16 19:00:00+00:00
53,7,0.75177465,1705435200.0,2024-01-16 20:00:00+00:00
54,7,0.72260106,1705438800.0,2024-01-16 21:00:00+00:00
55,7,0.72115518,1705442400.0,2024-01-16 22:00:00+00:00
56,7,0.72241815,1705446000.0,2024-01-16 23:00:00+00:00
57,7,0.70432951,1705449600.0,2024-01-17 00:00:00+00:00
58,7,0.70101749,1705453200.0,2024-01-17 01:00:00+00:00
59,7,0.69552839,1705456800.0,2024-01-17 02:00:00+00:00
60,7,0.69451734,1705460400.0,2024-01-17 03:00:00+00:00
61,7,0.69257354,1705464000.0,2024-01-17 04:00:00+00:00
62,7,0.69250864,1705467600.0,2024-01-17 05:00:00+00:00
63,7,0.69249354,1705471200.0,2024-01-17 06:00:00+00:00
64,7,0.69130285,1705474800.0,2024-01-17 07:00:00+00:00
65,7,0.69198719,1705478400.0,2024-01-17 08:00:00+00:00
66,7,0.66803557,1705482000.0,2024-01-17 09:00:00+00:00
67,7,0.66396066,1705485600.0,2024-01-17 10:00:00+00:00
68,7,0.66428150,1705489200.0,2024-01-17 11:00:00+00:00
69,7,0.65179684,1705492800.0,2024-01-17 12:00:00+00:00
70,7,0.65010013,1705496400.0,2024-01-17 13:00:00+00:00
71,7,0.65033681,1705500000.0,2024-01-17 14:00:00+00:00
72,7,0.62216453,1705503600.0,2024-01-17 15:00:00+00:00
73,7,0.61022689,1705507200.0,2024-01-17 16:00:00+00:00
74,7,0.60448850,1705510800.0,2024-01-17 17:00:00+00:00
75,7,0.60465813,1705514400.0,2024-01-17 18:00:00+00:00
76,7,0.59114638,1705518000.0,2024-01-17 19:00:00+00:00
77,7,0.59089313,1705521600.0,2024-01-17 20:00:00+00:00
78,7,0.57811259,1705525200.0,2024-01-17 21:00:00+00:00
