start_at,open,high,low,close,volume,turnover,date
1704036600.0,315.7,315.7,314.8,315.3,1633.38,514876.3355,2023-12-31 15:30:00
1704038400.0,315.3,316.3,315.1,316.25,1111.32,351083.4015,2023-12-31 16:00:00
1704040200.0,316.25,317.1,316.2,317.05,1990.4,630493.8195,2023-12-31 16:30:00
1704042000.0,317.05,318.25,316.4,316.6,3756.09,1192066.6885,2023-12-31 17:00:00
1704043800.0,316.6,317,315.65,316.6,1910.27,604014.662,2023-12-31 17:30:00
1704045600.0,316.6,316.65,315.2,315.7,1403.19,443050.864,2023-12-31 18:00:00
1704047400.0,315.7,316.4,315.35,316.35,1297.69,409829.2755,2023-12-31 18:30:00
1704049200.0,316.35,316.4,315.7,315.85,668.73,211284.3355,2023-12-31 19:00:00
1704051000.0,315.85,316.35,315.4,316,285.43,90179.531,2023-12-31 19:30:00
1704052800.0,316,316,314.4,314.5,1836.23,578429.6145,2023-12-31 20:00:00
1704054600.0,314.5,314.7,308.5,311.75,17894.66,5572441.35,2023-12-31 20:30:00
1704056400.0,311.75,313.5,311.75,313.1,2392.04,748481.931,2023-12-31 21:00:00
1704058200.0,313.1,313.9,312.35,312.4,4694.7,1471250.6515,2023-12-31 21:30:00
1704060000.0,312.4,313.9,312.2,313.6,2216.94,694206.4885,2023-12-31 22:00:00
1704061800.0,313.6,314.2,306.8,310.1,5733.99,1775473.1805,2023-12-31 22:30:00
1704063600.0,310.1,311.65,309.9,311.4,2579.1,802127.3705,2023-12-31 23:00:00
1704065400.0,311.4,312.4,311.3,311.5,2283.48,711738.9015,2023-12-31 23:30:00
1704067200.0,311.5,314.6,311.15,314.5,7568.94,2373100.181,2024-01-01 00:00:00
1704069000.0,314.5,314.7,313.7,313.75,902.73,283524.592,2024-01-01 00:30:00
1704070800.0,313.75,314.7,313.6,314.05,1676.7,526289.4435,2024-01-01 01:00:00
1704072600.0,314.05,315.3,314.05,314.7,1814.09,570962.8415,2024-01-01 01:30:00
1704074400.0,314.7,314.85,312.7,312.7,4591.98,1440554.5365,2024-01-01 02:00:00
1704076200.0,312.7,312.9,310.25,310.65,3294.68,1026371.303,2024-01-01 02:30:00
1704078000.0,310.65,311.25,309.65,310.1,3273.9,1016440.6965,2024-01-01 03:00:00
1704079800.0,310.1,310.7,308.4,308.9,3739.51,1156627.199,2024-01-01 03:30:00
1704081600.0,308.9,309.95,306.95,308.8,3692.78,1139315.1335,2024-01-01 04:00:00
