start_at,open,high,low,close,volume,turnover,date,wclprice,rsi,upper1,lower1,middle,upper2,lower2,upper3,lower3,bbvi,macd,macdsignal,macdhist,p_di,m_di,adx,adxr,volume_ma,volume_ma_diff,middle_diff,band_diff,di_diff,sma,ema,upper_diff,lower_diff,ema_diff,sma_diff,rsi_sell,ema_sma,sma_ema,ema_sma_500,sma_ema_500,rsi_buy,dmi_diff,macd_diff,bol_diff,aroon,adline,mfi,roc,atr,pandl,state,bb_direction,entry_price,exit_price,current_profit,bb_profit,prediction,profit_ma,entry_type,max_pandl,min_pandl,exit_reason,exit_time,pred_v1,pred_v2,pred_v3,pred_v4,pred_v5,pred_v6,pred_v7,pred_v8,pred_v9,pred_v10,pred_v11,pred_v12,pred_v13,pred_v14,pred_v15,pred_v16,pred_v17,pred_v18,pred_target,order_id
2023-06-11 00:00:00,25826.1,26420.0,25603.8,25920.5,273975.647,7107216543.4181,2023-06-11 00:00:00,25966.2,44.77,28018.67,25873.12,26945.9,29091.45,24800.34,30164.22,23727.57,15.92,72.72,470.32,-397.6,15.97,18.64,16.25,24.54,352172.94092857145,-17032.05,979.7000000000007,-480.84,-1.02,26741.8,26262.46,3125.25,-1165.8600000000006,296.2599999999984,775.5999999999985,-25.229999999999997,-479.34000000000015,479.34000000000015,0.0,0.0,14.770000000000003,-2.67,-397.6,4291.110000000001,-85.71,3807202.93,29.18,-9.6,1602.55,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-14 00:00:00,25920.5,26500.0,24779.5,26325.2,432014.065,11041494151.3172,2023-06-14 00:00:00,25982.47,44.89,27866.97,25841.31,26854.14,28879.81,24828.47,29892.64,23815.64,15.08,-1.77,375.9,-377.68,14.75,20.87,16.32,23.87,348247.3963571429,-3925.54,871.6699999999983,-537.97,-4.05,26628.9,26150.46,2897.34,-1154.0,167.98999999999796,646.4300000000003,-25.11,-478.4400000000023,478.4400000000023,0.0,0.0,14.89,-6.120000000000001,-377.66999999999996,4051.34,-92.85,4151433.15,19.02,-10.96,1610.97,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-17 00:00:00,26325.2,27063.8,26164.6,26827.4,277619.898,7370639214.0259,2023-06-17 00:00:00,26720.8,50.25,27814.68,25868.2,26841.44,28787.93,24894.96,29761.17,23921.71,14.5,-1.23,300.47,-301.71,16.72,20.01,15.79,22.73,339384.51985714294,-8862.87,120.63999999999942,-370.0,1.6,26586.07,26378.6,2067.130000000001,-1825.8400000000001,-342.2000000000007,-134.72999999999956,-19.75,-207.47000000000116,207.47000000000116,0.0,0.0,20.25,-3.2900000000000027,-301.70000000000005,3892.970000000001,-92.85,4283080.31,25.45,-4.89,1560.13,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-20 00:00:00,26827.4,30800.0,26642.1,29876.4,746315.2889999999,21624538578.5285,2023-06-20 00:00:00,29298.72,63.57,28141.29,26009.64,27075.47,29207.12,24943.81,30272.95,23877.98,15.74,204.85,281.35,-76.5,29.16,16.6,16.62,22.16,359809.1427857143,20424.62,-2223.25,278.45,17.82,26884.51,27546.64,-91.60000000000218,-4354.91,-1752.0800000000017,-2414.2100000000028,-6.43,662.130000000001,-662.130000000001,662.130000000001,0.0,33.57,12.559999999999999,-76.50000000000003,4263.309999999998,14.28,4697835.53,39.7,7.66,1745.69,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-23 00:00:00,29876.4,31444.0,29785.3,30460.1,407446.18200000003,12487050321.038198,2023-06-23 00:00:00,30537.37,68.01,28657.36,26152.98,27405.17,29909.56,24900.79,31161.75,23648.59,18.27,462.79,317.64,145.15,29.82,15.47,17.7,21.79,367220.7576428572,7411.61,-3132.2000000000007,1164.65,14.23,27210.24,28742.93,-627.8099999999977,-5636.579999999998,-1794.4399999999987,-3327.1299999999974,-1.9899999999999949,1532.6899999999987,-1532.6899999999987,1532.6899999999987,0.0,38.010000000000005,14.35,145.15000000000003,5008.77,21.42,4621907.62,47.34,14.4,1739.47,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-26 00:00:00,30460.1,30997.0,29817.0,30057.9,383266.853,11635754420.577,2023-06-26 00:00:00,30232.45,65.88,29016.71,26332.16,27674.44,30358.98,24989.89,31701.25,23647.62,19.4,635.28,381.16,254.11,28.34,14.71,18.7,21.39,368377.7829285714,1157.02,-2558.010000000002,1062.76,-0.06,27562.73,29338.74,126.52999999999884,-5242.560000000001,-893.7099999999991,-2669.720000000001,-4.1200000000000045,1776.010000000002,-1776.010000000002,1776.010000000002,0.0,35.879999999999995,13.629999999999999,254.11999999999995,5369.09,21.42,4395130.58,39.77,11.01,1699.51,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-06-29 00:00:00,30057.9,31291.9,29412.8,30577.0,438307.60699999996,13352449601.209,2023-06-29 00:00:00,30464.67,66.73,29407.57,26472.77,27940.17,30874.97,25005.37,32342.37,23537.97,21.0,781.71,461.27,320.43,26.12,15.24,19.24,20.83,380062.1567142857,11684.37,-2524.5,949.93,-4.22,27943.76,29789.11,410.3000000000029,-5459.299999999999,-675.5599999999977,-2520.91,-3.269999999999996,1845.3500000000022,-1845.3500000000022,1845.3500000000022,0.0,36.730000000000004,10.88,320.44000000000005,5869.600000000002,21.42,4499931.6,47.19,12.83,1712.34,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-07-02 00:00:00,30577.0,31399.4,30138.4,30754.1,270626.756,8345401060.285,2023-07-02 00:00:00,30761.5,67.84,29795.95,26621.79,28208.87,31383.03,25034.71,32970.11,23447.62,22.5,911.2,551.26,359.94,25.18,14.42,19.8,20.54,380785.9672142857,723.81,-2552.630000000001,994.7,-2.34,28434.81,30178.06,621.5299999999988,-5726.790000000001,-583.4399999999987,-2326.6899999999987,-2.1599999999999966,1743.25,-1743.25,1743.25,0.0,37.84,10.76,359.94000000000005,6348.32,21.42,4493579.06,47.64,13.48,1680.1,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-07-05 00:00:00,30754.1,31543.1,29675.1,30331.5,413858.27800000005,12607301885.323502,2023-07-05 00:00:00,30470.3,65.54,30121.79,26726.7,28424.24,31819.33,25029.15,33516.88,23331.6,23.88,979.04,636.81,342.22,23.19,15.24,19.87,20.07,384980.8352142857,4194.86,-2046.0599999999977,949.91,-3.75,28937.16,30294.96,1349.0300000000025,-5441.149999999998,-175.34000000000015,-1533.1399999999994,-4.459999999999994,1357.7999999999993,-1357.7999999999993,1357.7999999999993,0.0,35.540000000000006,7.950000000000001,342.23,6790.18,50.0,4370573.65,46.64,14.49,1693.52,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-07-08 00:00:00,30331.5,31035.5,29927.5,30399.1,201630.701,6116038603.179,2023-07-08 00:00:00,30440.3,65.29,30400.18,26832.31,28616.25,32184.12,25048.37,33968.06,23264.44,24.93,1018.64,713.18,305.46,22.08,14.51,19.93,19.63,379029.50114285713,-5951.33,-1824.0499999999993,781.87,-2.37,29434.28,30353.09,1743.8199999999997,-5391.93,-87.20999999999913,-1006.0200000000004,-4.709999999999994,918.8100000000013,-918.8100000000013,918.8100000000013,0.0,35.290000000000006,7.5699999999999985,305.46000000000004,7135.75,50.0,4340583.81,41.96,10.26,1651.7,0.0,None,None,0.0,0.0,0.0,0.0,0,0.0,None,0.0,0.0,None,None,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
