,serial,date,cash_in,cash_out,amount,total_assets,startup_flag
0,422524,2024-08-01,0.0,1000.0,0.0,1000.0,1
1,422525,2024-08-02,1041.5552126722084,0.0,1041.5552126722084,1041.5552126722084,0
2,422526,2024-08-03,0.0,1000.0,41.55521267220843,1041.5552126722084,0
3,422527,2024-08-04,1084.2289314852815,0.0,1125.78414415749,1125.78414415749,0
4,422528,2024-08-05,0.0,1000.0,125.78414415748989,1125.78414415749,0
5,422529,2024-08-06,947.6112099999999,0.0,1073.3953541574897,1073.3953541574897,0
6,422530,2024-08-07,0.0,1000.0,73.39535415748969,1073.3953541574897,0
7,422531,2024-08-08,1044.8672956775456,0.0,1118.2626498350353,1118.2626498350353,0
8,422532,2024-08-09,0.0,1000.0,118.26264983503529,1118.2626498350353,0
9,422533,2024-08-12,950.24808,0.0,1068.5107298350354,1068.5107298350354,0
10,422534,2024-08-13,0.0,1000.0,68.51072983503536,1068.5107298350354,0
11,422535,2024-08-15,949.2418909090909,0.0,1017.7526207441263,1017.7526207441263,0
12,422536,2024-08-16,0.0,1000.0,17.75262074412626,1017.7526207441263,0
13,422537,2024-08-20,927.7684999999999,0.0,945.5211207441262,945.5211207441262,0
14,422538,2024-08-21,0.0,945.5211207441262,0.0,945.5211207441262,0
15,422539,2024-08-23,877.125123278489,0.0,877.125123278489,877.125123278489,0
16,422540,2024-08-24,0.0,877.125123278489,0.0,877.125123278489,0
17,422541,2024-08-27,936.0620475461324,0.0,936.0620475461324,936.0620475461324,0
18,422542,2024-08-28,0.0,936.0620475461324,0.0,936.0620475461324,0
19,422543,2024-08-29,867.908039041531,0.0,867.908039041531,867.908039041531,0
20,422544,2024-08-30,0.0,867.908039041531,0.0,867.908039041531,0
21,422545,2024-09-03,912.3137112399343,0.0,912.3137112399343,912.3137112399343,0
22,422546,2024-09-04,0.0,912.3137112399343,0.0,912.3137112399343,0
23,422547,2024-09-06,954.571278736551,0.0,954.571278736551,954.571278736551,0
24,422548,2024-09-07,0.0,954.571278736551,0.0,954.571278736551,0
25,422549,2024-09-09,904.7957003299409,0.0,904.7957003299409,904.7957003299409,0
26,422550,2024-09-10,0.0,904.7957003299409,0.0,904.7957003299409,0
27,422551,2024-09-13,857.704185059578,0.0,857.704185059578,857.704185059578,0
28,422552,2024-09-14,0.0,857.704185059578,0.0,857.704185059578,0
29,422553,2024-09-16,926.353028961857,0.0,926.353028961857,926.353028961857,0
30,422554,2024-09-17,0.0,926.353028961857,0.0,926.353028961857,0
31,422555,2024-09-19,858.916568798141,0.0,858.916568798141,858.916568798141,0
32,422556,2024-09-20,0.0,858.916568798141,0.0,858.916568798141,0
33,422557,2024-09-24,836.0033564596242,0.0,836.0033564596242,836.0033564596242,0
34,422558,2024-09-25,0.0,836.0033564596242,0.0,836.0033564596242,0
35,422559,2024-09-27,794.0491877675187,0.0,794.0491877675187,794.0491877675187,0
36,422560,2024-09-28,0.0,794.0491877675187,0.0,794.0491877675187,0
37,422561,2024-09-30,832.5998528186825,0.0,832.5998528186825,832.5998528186825,0
38,422562,2024-10-01,0.0,832.5998528186825,0.0,832.5998528186825,0
39,422563,2024-10-05,797.1531331424814,0.0,797.1531331424814,797.1531331424814,0
40,422564,2024-10-06,0.0,797.1531331424814,0.0,797.1531331424814,0
41,422565,2024-10-09,857.5876598395257,0.0,857.5876598395257,857.5876598395257,0
42,422566,2024-10-10,0.0,857.5876598395257,0.0,857.5876598395257,0
43,422567,2024-10-11,794.9240851619323,0.0,794.9240851619323,794.9240851619323,0
44,422568,2024-10-12,0.0,794.9240851619323,0.0,794.9240851619323,0
45,422569,2024-10-14,746.6119006520913,0.0,746.6119006520913,746.6119006520913,0
46,422570,2024-10-15,0.0,746.6119006520913,0.0,746.6119006520913,0
47,422571,2024-10-19,731.3575275613739,0.0,731.3575275613739,731.3575275613739,0
48,422572,2024-10-20,0.0,731.3575275613739,0.0,731.3575275613739,0
49,422573,2024-10-22,757.2759432857157,0.0,757.2759432857157,757.2759432857157,0
50,422574,2024-10-23,0.0,757.2759432857157,0.0,757.2759432857157,0
51,422575,2024-10-27,740.2556393943399,0.0,740.2556393943399,740.2556393943399,0
52,422576,2024-10-28,0.0,740.2556393943399,0.0,740.2556393943399,0
53,422577,2024-10-29,687.2155909876724,0.0,687.2155909876724,687.2155909876724,0
54,422578,2024-10-30,0.0,687.2155909876724,0.0,687.2155909876724,0
55,422579,2024-10-31,637.5668271874995,0.0,637.5668271874995,637.5668271874995,0
56,422580,2024-11-01,0.0,637.5668271874995,0.0,637.5668271874995,0
57,422581,2024-11-04,676.8830334534114,0.0,676.8830334534114,676.8830334534114,0
58,422582,2024-11-05,0.0,676.8830334534114,0.0,676.8830334534114,0
59,422583,2024-11-06,626.851900779814,0.0,626.851900779814,626.851900779814,0
60,422584,2024-11-07,0.0,626.851900779814,0.0,626.851900779814,0
61,422585,2024-11-10,651.4198553222171,0.0,651.4198553222171,651.4198553222171,0
62,422586,2024-11-11,0.0,651.4198553222171,0.0,651.4198553222171,0
63,422587,2024-11-12,668.5482354589002,0.0,668.5482354589002,668.5482354589002,0
64,422588,2024-11-13,0.0,668.5482354589002,0.0,668.5482354589002,0
65,422589,2024-11-17,664.2344323998956,0.0,664.2344323998956,664.2344323998956,0
66,422590,2024-11-18,0.0,664.2344323998956,0.0,664.2344323998956,0
67,422591,2024-11-19,684.3651102493917,0.0,684.3651102493917,684.3651102493917,0
68,422592,2024-11-20,0.0,684.3651102493917,0.0,684.3651102493917,0
69,422593,2024-11-21,704.5129271392941,0.0,704.5129271392941,704.5129271392941,0
70,422594,2024-11-22,0.0,704.5129271392941,0.0,704.5129271392941,0
71,422595,2024-11-25,669.1065129194408,0.0,669.1065129194408,669.1065129194408,0
72,422596,2024-11-26,0.0,669.1065129194408,0.0,669.1065129194408,0
73,422597,2024-11-27,713.039936791446,0.0,713.039936791446,713.039936791446,0
74,422598,2024-11-28,0.0,713.039936791446,0.0,713.039936791446,0
75,422599,2024-11-29,754.4428901037489,0.0,754.4428901037489,754.4428901037489,0
76,422600,2024-11-30,0.0,754.4428901037489,0.0,754.4428901037489,0
77,422601,2024-12-04,787.7879157455206,0.0,787.7879157455206,787.7879157455206,0
78,422602,2024-12-05,0.0,787.7879157455206,0.0,787.7879157455206,0
79,422603,2024-12-06,829.7943623291542,0.0,829.7943623291542,829.7943623291542,0
80,422604,2024-12-07,0.0,829.7943623291542,0.0,829.7943623291542,0
81,422605,2024-12-09,768.52057973203,0.0,768.52057973203,768.52057973203,0
82,422606,2024-12-10,0.0,768.52057973203,0.0,768.52057973203,0
83,422607,2024-12-11,712.7602664566197,0.0,712.7602664566197,712.7602664566197,0
84,422608,2024-12-12,0.0,712.7602664566197,0.0,712.7602664566197,0
85,422609,2024-12-15,747.7480913520524,0.0,747.7480913520524,747.7480913520524,0
86,422610,2024-12-16,0.0,747.7480913520524,0.0,747.7480913520524,0
87,422611,2024-12-18,709.7925984515651,0.0,709.7925984515651,709.7925984515651,0
88,422612,2024-12-19,0.0,709.7925984515651,0.0,709.7925984515651,0
89,422613,2024-12-20,673.5157857710751,0.0,673.5157857710751,673.5157857710751,0
90,422614,2024-12-21,0.0,673.5157857710751,0.0,673.5157857710751,0
91,422615,2024-12-23,637.3373043975648,0.0,637.3373043975648,637.3373043975648,0
92,422616,2024-12-24,0.0,637.3373043975648,0.0,637.3373043975648,0
93,422617,2024-12-26,652.2806695445497,0.0,652.2806695445497,652.2806695445497,0
94,422618,2024-12-27,0.0,652.2806695445497,0.0,652.2806695445497,0
95,422619,2024-12-31,646.5161608080507,0.0,646.5161608080507,646.5161608080507,0
