,serial,init_equity,equity,leverage,contract,qty,entry_price,losscut_price,exit_price,limit_price,pl,pred,tradetype,stage,losscut,losscut_rate,entrytime,exittime,direction,startup_flag
0,211827,1000.0,1041.5552126722084,1.0,USDT,0.015,65341.1,68608.155,62497.419155186115,132007.76666666666,41.555212672208334,0,SHORT_EXIT,0,0,0.05,2024-08-01,2024-08-02 00:00:00,upper,1
1,211828,1000.0,1084.2289314852815,2.0,USDT,0.033,60682.0,62805.87,58062.941470142985,90985.0303030303,84.2289314852815,0,SHORT_EXIT,0,0,0.07,2024-08-03,2024-08-04 00:00:00,upper,0
2,211829,1000.0,947.6112099999999,1.0,USDT,0.019,53988.2,56687.61,56687.61,106619.77894736841,-52.388790000000064,0,SHORT_EXIT,0,losscut,0.05,2024-08-05,2024-08-06 00:00:00,upper,0
3,211830,1000.0,1044.8672956775456,1.0,USDT,0.018,55109.5,52354.025,57663.23864875254,-446.055555555562,44.86729567754562,1,LONG_EXIT,0,0,0.05,2024-08-07,2024-08-08 00:00:00,upper,0
4,211831,1000.0,950.24808,1.0,USDT,0.016,60814.9,57774.155,57774.155,-1685.0999999999985,-49.75192000000002,1,LONG_EXIT,0,losscut,0.05,2024-08-09,2024-08-12 00:00:00,upper,0
5,211832,1000.0,949.2418909090909,1.1,USDT,0.018,60558.8,57806.12727272727,57806.12727272727,5003.244444444441,-50.758109090909066,1,LONG_EXIT,0,losscut,0.05,2024-08-13,2024-08-15 00:00:00,upper,0
6,211833,1000.0,927.7684999999999,2.0,USDT,0.034,58850.0,60909.75,60909.75,88261.76470588235,-72.23150000000005,0,SHORT_EXIT,0,losscut,0.07,2024-08-16,2024-08-20 00:00:00,upper,0
7,211834,945.5211207441262,877.125123278489,2.0,USDT,0.031,61120.6,63259.820999999996,63259.820999999996,91621.28131432665,-68.39599746563714,0,SHORT_EXIT,0,losscut,0.07,2024-08-21,2024-08-23 00:00:00,upper,0
8,211835,877.125123278489,936.0620475461324,1.8,USDT,0.025,64130.3,66624.25611111111,61703.35471953062,99215.30493113956,58.93692426764334,0,SHORT_EXIT,0,0,0.07,2024-08-24,2024-08-27 00:00:00,upper,0
9,211836,936.0620475461324,867.908039041531,2.0,USDT,0.032,59013.1,61078.5585,61078.5585,88265.03898581663,-68.15400850460144,0,SHORT_EXIT,0,losscut,0.07,2024-08-28,2024-08-29 00:00:00,upper,0
10,211837,867.908039041531,912.3137112399343,1.9,USDT,0.028,59100.9,61278.30157894737,57450.2,90097.61568005467,44.40567219840333,0,SHORT_EXIT,0,0,0.07,2024-08-30,2024-09-03 00:00:00,upper,0
11,211838,912.3137112399343,954.571278736551,1.0,USDT,0.016,57937.8,60834.69,55233.98046381371,114957.40695249589,42.25756749661679,0,SHORT_EXIT,0,0,0.05,2024-09-04,2024-09-06 00:00:00,upper,0
12,211839,954.571278736551,904.7957003299409,1.0,USDT,0.018,54139.5,56846.475,56846.475,107171.23770758617,-49.775578406610094,0,SHORT_EXIT,0,losscut,0.05,2024-09-07,2024-09-09 00:00:00,upper,0
13,211840,904.7957003299409,857.704185059578,1.0,USDT,0.016,57620.3,60501.315,60501.315,114170.03127062132,-47.091515270362905,0,SHORT_EXIT,0,losscut,0.05,2024-09-10,2024-09-13 00:00:00,upper,0
14,211841,857.704185059578,926.353028961857,2.0,USDT,0.029,59968.0,62066.88,57535.7312720893,89544.00638136476,68.64884390227911,0,SHORT_EXIT,0,0,0.07,2024-09-14,2024-09-16 00:00:00,upper,0
15,211842,926.353028961857,858.916568798141,2.0,USDT,0.031,60275.1,62384.7285,62384.7285,90157.45577296313,-67.43646016371596,0,SHORT_EXIT,0,losscut,0.07,2024-09-17,2024-09-19 00:00:00,upper,0
16,211843,858.916568798141,836.0033564596242,1.5,USDT,0.02,63173.8,65700.75200000001,64248.6,106119.62843990706,-22.9132123385168,0,SHORT_EXIT,0,0,0.06,2024-09-20,2024-09-24 00:00:00,upper,0
17,211844,836.0033564596242,794.0491877675187,1.0,USDT,0.013,63130.1,66286.605,66286.605,127438.05049689417,-41.95416869210552,0,SHORT_EXIT,0,losscut,0.05,2024-09-25,2024-09-27 00:00:00,upper,0
18,211845,794.0491877675187,832.5998528186825,1.4,USDT,0.017,65823.0,68643.98571428572,63483.38230586318,112531.77575103051,38.55066505116381,0,SHORT_EXIT,0,0,0.06,2024-09-28,2024-09-30 00:00:00,upper,0
19,211846,832.5998528186825,797.1531331424814,2.0,USDT,0.027,60790.0,62917.65,62035.0,91627.03158587714,-35.44671967620111,0,SHORT_EXIT,0,0,0.07,2024-10-01,2024-10-05 00:00:00,upper,0
20,211847,797.1531331424814,857.5876598395257,2.0,USDT,0.025,62792.9,64990.6515,60305.36945640169,94679.02532569926,60.43452669704438,0,SHORT_EXIT,0,0,0.07,2024-10-06,2024-10-09 00:00:00,upper,0
21,211848,857.5876598395257,794.9240851619323,1.8,USDT,0.026,60295.6,62640.428888888884,62640.428888888884,93279.74076305868,-62.66357467759342,0,SHORT_EXIT,0,losscut,0.07,2024-10-10,2024-10-11 00:00:00,upper,0
22,211849,794.9240851619323,746.6119006520913,1.7,USDT,0.021,63177.5,65407.294117647056,65407.294117647056,101031.02786485391,-48.31218450984099,0,SHORT_EXIT,0,losscut,0.06,2024-10-12,2024-10-14 00:00:00,upper,0
