Serial,Date,Message,serial,date,message
,,,11800391.0,2024-08-01,Transitioning to PositionState
,,,11800392.0,2024-08-01,Transitioning to Position State.
,,,11800400.0,2024-08-02,"rolling_v1 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 84.8411"
,,,11800401.0,2024-08-02,Raw hit rates: [1.0]
,,,11800402.0,2024-08-02,Raw average errors: [0.0]
,,,11800403.0,2024-08-02,Raw average profits: [84.84110719941604]
,,,11800404.0,2024-08-02,Profit weights: [0.6]
,,,11800405.0,2024-08-02,Hit rate weights: [0.2]
,,,11800406.0,2024-08-02,Error weights: [0.2]
,,,11800407.0,2024-08-02,Model 1 final weight: 1.0000
,,,11800408.0,2024-08-02,"rolling_v2 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 84.8411"
,,,11800409.0,2024-08-02,Raw hit rates: [1.0]
,,,11800410.0,2024-08-02,Raw average errors: [0.0]
,,,11800411.0,2024-08-02,Raw average profits: [84.84110719941604]
,,,11800412.0,2024-08-02,Profit weights: [0.6]
,,,11800413.0,2024-08-02,Hit rate weights: [0.2]
,,,11800414.0,2024-08-02,Error weights: [0.2]
,,,11800415.0,2024-08-02,Model 1 final weight: 1.0000
,,,11800416.0,2024-04-24,Transitioning to IdleState
,,,11800417.0,2024-04-24,アイドル状態に遷移します。
,,,11800419.0,2024-08-03,Transitioning to PositionState
,,,11800420.0,2024-08-03,Transitioning to Position State.
,,,11800428.0,2024-08-04,"rolling_v1 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 63.4507"
,,,11800429.0,2024-08-04,Raw hit rates: [1.0]
,,,11800430.0,2024-08-04,Raw average errors: [0.0]
,,,11800431.0,2024-08-04,Raw average profits: [63.45074648933766]
,,,11800432.0,2024-08-04,Profit weights: [0.6]
,,,11800433.0,2024-08-04,Hit rate weights: [0.2]
,,,11800434.0,2024-08-04,Error weights: [0.2]
,,,11800435.0,2024-08-04,Model 1 final weight: 1.0000
,,,11800436.0,2024-08-04,"rolling_v2 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 63.4507"
,,,11800437.0,2024-08-04,Raw hit rates: [1.0]
,,,11800438.0,2024-08-04,Raw average errors: [0.0]
,,,11800439.0,2024-08-04,Raw average profits: [63.45074648933766]
,,,11800440.0,2024-08-04,Profit weights: [0.6]
,,,11800441.0,2024-08-04,Hit rate weights: [0.2]
,,,11800442.0,2024-08-04,Error weights: [0.2]
,,,11800443.0,2024-08-04,Model 1 final weight: 1.0000
,,,11800444.0,2024-04-24,Transitioning to IdleState
,,,11800445.0,2024-04-24,アイドル状態に遷移します。
,,,11800447.0,2024-08-05,Transitioning to PositionState
,,,11800448.0,2024-08-05,Transitioning to Position State.
,,,11800449.0,2024-08-06,losscut price: 56687.61
,,,11800457.0,2024-08-06,"rolling_v1 - Hit Rate: 0.6667, Avg Error: 0.3333, Avg Profit: 25.2672"
,,,11800458.0,2024-08-06,Raw hit rates: [0.6666666666666666]
,,,11800459.0,2024-08-06,Raw average errors: [0.3333333333333333]
,,,11800460.0,2024-08-06,Raw average profits: [25.26716432622507]
,,,11800461.0,2024-08-06,Profit weights: [0.6]
,,,11800462.0,2024-08-06,Hit rate weights: [0.2]
,,,11800463.0,2024-08-06,Error weights: [nan]
,,,11800464.0,2024-08-06,Model 1 final weight: nan
,,,11800465.0,2024-08-06,"rolling_v2 - Hit Rate: 0.6667, Avg Error: 0.3333, Avg Profit: 25.2672"
,,,11800466.0,2024-08-06,Raw hit rates: [0.6666666666666666]
,,,11800467.0,2024-08-06,Raw average errors: [0.3333333333333333]
,,,11800468.0,2024-08-06,Raw average profits: [25.26716432622507]
,,,11800469.0,2024-08-06,Profit weights: [0.6]
,,,11800470.0,2024-08-06,Hit rate weights: [0.2]
,,,11800471.0,2024-08-06,Error weights: [nan]
,,,11800472.0,2024-08-06,Model 1 final weight: nan
,,,11800473.0,2024-04-24,Transitioning to IdleState
,,,11800474.0,2024-04-24,アイドル状態に遷移します。
,,,11800476.0,2024-08-07,Transitioning to PositionState
,,,11800477.0,2024-08-07,Transitioning to Position State.
,,,11800485.0,2024-08-08,"rolling_v1 - Hit Rate: 0.5000, Avg Error: 0.5000, Avg Profit: 7.6405"
,,,11800486.0,2024-08-08,Raw hit rates: [0.5]
