Serial,Date,Message,serial,date,message
,,,9921463.0,2024-10-19 07:15:00, 
,,,9921464.0,2024-10-19 07:30:00,lower band cross
,,,9921465.0,2024-10-19 07:30:00,Initial State: Selecting ALL models.
,,,9921466.0,2024-10-19 07:30:00,"Selected model indices: [0, 1, 2, 3, 4]"
,,,9921467.0,2024-10-19 07:30:00,Initial State: Selecting ALL models.
,,,9921468.0,2024-10-19 07:30:00,"Selected model indices: [0, 1, 2, 3, 4]"
,,,9921470.0,2024-10-19 07:30:00,Transitioning to EntryPreparationState
,,,9921471.0,2024-10-19 07:30:00,Transitioning to Entry Preparation State.
,,,9921472.0,2024-10-19 07:45:00,Check Online Position status: position
,,,9921473.0,2024-10-19 07:45:00,Transitioning to PositionState
,,,9921474.0,2024-10-19 07:45:00,Entry event occurred. Transitioning to Position State.
,,,9921475.0,2024-10-19 08:00:00,Check Online Position status: position
,,,9921476.0,2024-10-19 08:00:00,continue Position state pandl:-4.641499999999928
,,,9921484.0,2024-10-19 08:00:00,"Trade Exit price: 67739.9, PnL: -8.46824164"
,,,9921485.0,2024-10-19 08:00:00,"rolling_v1 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 8.4682"
,,,9921486.0,2024-10-19 08:00:00,"rolling_v2 - Hit Rate: 0.0000, Avg Error: 1.0000, Avg Profit: -8.4682"
,,,9921487.0,2024-10-19 08:00:00,"rolling_v3 - Hit Rate: 0.0000, Avg Error: 1.0000, Avg Profit: -8.4682"
,,,9921488.0,2024-10-19 08:00:00,"rolling_v4 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 8.4682"
,,,9921489.0,2024-10-19 08:00:00,"rolling_v5 - Hit Rate: 1.0000, Avg Error: 0.0000, Avg Profit: 8.4682"
,,,9921490.0,2024-10-19 08:00:00,"Raw hit rates: [1.0, 0.0, 0.0, 1.0, 1.0]"
,,,9921491.0,2024-10-19 08:00:00,"Raw average errors: [0.0, 1.0, 1.0, 0.0, 0.0]"
,,,9921492.0,2024-10-19 08:00:00,"Raw average profits: [8.46824164, -8.46824164, -8.46824164, 8.46824164, 8.46824164]"
,,,9921493.0,2024-10-19 08:00:00,Profit weights: [ 0.6 -0.6 -0.6  0.6  0.6]
,,,9921494.0,2024-10-19 08:00:00,Hit rate weights: [0.06666667 0.         0.         0.06666667 0.06666667]
,,,9921495.0,2024-10-19 08:00:00,Error weights: [0.06666667 0.         0.         0.06666667 0.06666667]
,,,9921496.0,2024-10-19 08:00:00,Model 1 final weight: 0.7333
,,,9921497.0,2024-10-19 08:00:00,Model 2 final weight: -0.6000
,,,9921498.0,2024-10-19 08:00:00,Model 3 final weight: -0.6000
,,,9921499.0,2024-10-19 08:00:00,Model 4 final weight: 0.7333
,,,9921500.0,2024-10-19 08:00:00,Model 5 final weight: 0.7333
